timestamp,bearing_1,bearing_2,bearing_3,bearing_4
19435520,0.081,0.168,0.000,0.037
19435521,0.095,0.073,-0.051,-0.061
19435522,-0.010,-0.020,0.103,-0.129
19435523,0.159,-0.076,0.034,-0.176
19435524,0.278,0.017,-0.117,-0.100
19435525,-0.457,-0.151,0.029,0.010
19435526,-0.627,-0.212,0.112,0.029
19435527,-0.232,-0.159,0.054,-0.046
19435528,0.168,-0.212,-0.110,-0.088
19435529,0.112,-0.347,0.164,-0.034
19435530,-0.134,-0.259,-0.081,0.032
19435531,-0.068,-0.129,-0.208,-0.010
19435532,-0.061,0.024,-0.146,0.027
19435533,0.020,0.046,-0.066,-0.073
19435534,-0.005,0.046,-0.195,-0.137
19435535,-0.134,0.149,-0.222,-0.198
19435536,0.042,0.049,-0.029,-0.142
19435537,0.366,0.110,-0.225,-0.115
19435538,0.286,0.186,-0.168,-0.005
19435539,0.203,0.344,-0.093,0.020
19435540,0.208,0.188,0.081,0.027
19435541,0.310,0.007,0.078,-0.044
19435542,0.127,0.103,0.110,0.044
19435543,-0.151,0.063,0.107,0.032
19435544,-0.171,-0.046,0.100,0.122
19435545,-0.161,-0.278,0.242,0.134
19435546,-0.181,-0.200,0.063,0.120
19435547,-0.154,-0.049,0.105,0.107
19435548,-0.159,0.012,0.129,0.137
19435549,-0.193,-0.125,0.134,0.161
19435550,-0.144,-0.007,0.068,0.110
19435551,-0.027,-0.020,0.134,0.132
19435552,0.134,-0.061,-0.054,0.112
19435553,-0.078,0.022,-0.144,0.063
19435554,-0.107,-0.044,-0.220,0.005
19435555,-0.007,0.000,-0.122,-0.073
19435556,-0.024,0.007,-0.251,-0.037
19435557,-0.039,0.176,-0.166,-0.044
19435558,-0.149,0.156,-0.120,-0.022
19435559,-0.068,0.164,-0.195,-0.144
19435560,0.037,0.117,-0.327,-0.146
19435561,0.063,0.190,-0.205,-0.120
19435562,-0.176,0.232,-0.090,-0.120
19435563,-0.166,0.164,-0.205,-0.120
19435564,0.000,0.137,-0.105,-0.125
19435565,0.103,0.017,-0.078,-0.122
19435566,0.029,-0.039,0.046,-0.139
19435567,-0.190,-0.127,0.144,-0.103
19435568,-0.146,-0.120,0.110,-0.044
19435569,0.029,-0.154,0.168,0.071
19435570,0.115,-0.142,0.356,0.110
19435571,0.078,-0.173,0.247,0.059
19435572,0.034,-0.208,0.312,-0.024
19435573,0.049,-0.127,0.256,-0.007
19435574,0.098,-0.166,0.234,0.027
19435575,0.120,-0.049,0.200,0.107
19435576,0.190,0.015,0.103,0.032
19435577,0.132,0.073,0.112,-0.073
19435578,0.105,0.076,-0.039,-0.078
19435579,0.081,0.151,0.032,-0.076
