timestamp,bearing_1,bearing_2,bearing_3,bearing_4
2027520,0.034,-0.002,0.066,-0.015
2027521,-0.015,0.049,-0.027,-0.032
2027522,-0.054,0.002,-0.183,0.005
2027523,-0.127,-0.142,-0.027,0.034
2027524,-0.078,-0.173,0.115,0.005
2027525,0.046,-0.127,0.037,0.029
2027526,0.042,-0.046,-0.051,0.039
2027527,-0.054,-0.222,-0.024,-0.010
2027528,-0.146,-0.173,0.132,-0.037
2027529,0.002,0.000,-0.105,-0.044
2027530,-0.056,-0.037,-0.127,0.020
2027531,-0.017,-0.061,0.012,0.020
2027532,0.020,-0.015,-0.020,-0.034
2027533,-0.037,0.049,-0.198,-0.093
2027534,0.022,0.029,-0.100,-0.095
2027535,0.088,0.098,0.037,-0.044
2027536,0.073,0.059,-0.063,-0.068
2027537,0.098,-0.112,-0.112,-0.120
2027538,0.046,0.042,-0.132,-0.112
2027539,-0.029,0.098,0.056,-0.027
2027540,-0.061,0.259,-0.027,-0.029
2027541,0.015,-0.015,0.110,-0.005
2027542,0.027,-0.120,0.098,0.002
2027543,-0.032,-0.032,0.029,0.017
2027544,-0.002,-0.010,0.110,-0.002
2027545,0.005,-0.071,0.083,-0.022
2027546,-0.015,-0.134,-0.049,-0.005
2027547,0.225,0.044,-0.024,0.059
2027548,0.037,0.000,0.044,0.112
2027549,-0.020,-0.061,0.071,0.132
2027550,0.078,-0.078,-0.100,0.054
2027551,-0.010,-0.122,-0.090,-0.059
2027552,0.000,0.007,0.039,-0.095
2027553,-0.046,-0.034,0.007,-0.046
2027554,-0.005,0.073,-0.005,0.112
2027555,0.085,0.164,-0.017,0.122
2027556,0.010,0.044,-0.007,0.083
2027557,0.090,0.107,-0.034,-0.029
2027558,0.090,0.115,-0.132,-0.010
2027559,0.017,-0.022,-0.200,0.068
2027560,0.039,0.068,-0.127,0.076
2027561,-0.005,0.134,-0.129,0.049
2027562,-0.059,-0.105,-0.029,-0.032
2027563,0.012,-0.017,0.000,-0.061
2027564,0.071,0.063,-0.002,-0.037
2027565,0.015,-0.071,0.049,0.061
2027566,-0.076,-0.168,0.046,0.132
2027567,-0.071,-0.034,0.017,0.051
2027568,-0.010,-0.178,-0.098,-0.049
2027569,-0.024,-0.024,-0.005,-0.088
2027570,-0.032,-0.071,0.039,0.034
2027571,-0.017,-0.210,-0.103,0.081
2027572,-0.015,-0.032,0.083,0.032
2027573,0.017,-0.005,0.225,-0.017
2027574,0.100,0.022,-0.054,-0.015
2027575,0.071,0.015,0.015,-0.076
2027576,0.032,-0.002,0.071,-0.020
2027577,-0.010,0.015,0.027,0.051
2027578,0.032,0.042,-0.205,0.066
2027579,0.022,0.088,-0.132,-0.007
2027580,0.051,0.088,0.044,-0.122
2027581,0.022,0.000,-0.063,-0.159
2027582,-0.005,0.005,-0.054,-0.059
2027583,-0.039,-0.042,-0.103,0.093
2027584,-0.125,-0.017,-0.078,0.095
2027585,-0.037,-0.081,0.085,0.020
2027586,-0.037,-0.085,0.098,-0.037
