timestamp,bearing_1,bearing_2,bearing_3,bearing_4
5000000,-0.007,-0.095,0.144,0.071
5000001,0.066,-0.195,0.051,0.034
5000002,0.063,-0.122,-0.012,0.032
5000003,0.039,-0.110,0.037,0.034
5000004,0.010,-0.151,0.027,0.046
5000005,0.017,-0.095,-0.083,0.085
5000006,0.027,-0.051,-0.122,0.054
5000007,0.049,-0.117,0.007,0.020
5000008,0.081,0.034,0.054,-0.024
5000009,0.068,0.017,-0.146,-0.020
5000010,0.020,0.002,-0.120,-0.010
5000011,0.066,0.083,-0.068,0.032
5000012,0.198,0.134,-0.020,0.010
5000013,0.178,0.161,0.010,-0.039
5000014,0.105,0.005,-0.071,-0.083
5000015,0.020,0.051,-0.159,-0.088
5000016,-0.002,-0.022,-0.034,-0.049
5000017,0.029,0.068,-0.073,-0.042
5000018,0.044,0.056,-0.085,0.012
5000019,-0.037,-0.183,-0.061,0.010
5000020,-0.122,-0.027,-0.046,0.000
5000021,-0.024,-0.029,-0.010,0.027
5000022,0.085,-0.078,0.193,0.049
5000023,0.010,-0.156,0.137,0.061
5000024,-0.088,-0.115,-0.115,0.022
5000025,-0.083,-0.076,-0.010,-0.034
5000026,-0.027,0.000,-0.068,-0.063
5000027,0.063,-0.051,-0.017,-0.005
5000028,0.039,0.107,-0.144,0.034
5000029,0.012,-0.007,-0.115,0.017
5000030,0.051,-0.002,-0.110,-0.063
5000031,0.125,0.059,-0.073,-0.022
5000032,0.132,0.032,0.000,-0.002
5000033,0.046,0.176,0.015,0.000
5000034,0.090,0.066,-0.127,-0.029
5000035,0.132,0.044,-0.068,-0.022
5000036,0.061,-0.056,-0.076,0.012
5000037,0.103,-0.115,-0.051,0.044
5000038,-0.005,-0.007,-0.054,0.017
5000039,0.002,0.015,-0.112,0.024
5000040,0.012,-0.029,0.039,0.044
5000041,-0.081,-0.090,0.027,0.054
5000042,-0.073,-0.190,-0.037,0.076
5000043,-0.100,-0.217,0.007,0.068
5000044,-0.005,-0.195,0.068,0.071
5000045,0.056,-0.271,-0.049,0.015
5000046,0.027,-0.027,-0.068,0.059
5000047,-0.029,-0.029,-0.166,0.083
5000048,-0.020,-0.005,0.029,0.107
5000049,0.110,-0.054,0.042,0.054
5000050,0.151,0.083,-0.161,0.098
5000051,0.105,0.027,-0.063,0.034
5000052,0.090,-0.032,-0.022,0.022
5000053,0.107,-0.059,0.017,0.039
5000054,0.088,0.007,-0.139,-0.002
5000055,0.078,0.127,0.017,0.015
5000056,0.056,0.015,-0.051,0.022
5000057,0.107,0.061,-0.144,-0.044
5000058,0.061,0.007,-0.098,-0.073
5000059,-0.049,0.044,-0.188,0.007
