DATE_TIME,BPOS,DBTM,FLWI,HDTH,HKLD,ROP,RPM,SPPA,WOB,label
1247008660,-0.430256,-0.110443,0.379416,-1.291774,-0.189601,-0.005415,2.486160,0.687095,2.753314,drilling
1247008663,-0.433149,-0.110414,0.379416,-1.291741,-0.187280,-0.005415,2.486160,0.687095,2.733308,drilling
1247008666,-0.435836,-0.110383,0.379416,-1.291705,-0.188698,-0.005415,2.501484,0.692771,2.744890,drilling
1247008669,-0.438730,-0.110354,0.379416,-1.291672,-0.191792,-0.005415,2.501484,0.692125,2.770161,drilling
1247008672,-0.441624,-0.110322,0.379416,-1.291636,-0.192437,-0.005153,2.501484,0.692125,2.775426,drilling
1247008675,-0.444311,-0.110293,0.379416,-1.291603,-0.186894,-0.005153,2.486160,0.695855,2.731202,drilling
1247008678,-0.446998,-0.110264,0.379416,-1.291570,-0.186120,-0.005153,2.501484,0.697223,2.724884,drilling
1247008681,-0.449892,-0.110232,0.379416,-1.291534,-0.186249,-0.005326,2.501484,0.697223,2.724884,drilling
1247008684,-0.452785,-0.110201,0.379416,-1.291498,-0.187538,-0.005326,2.486160,0.692694,2.735414,drilling
1247008687,-0.455472,-0.110171,0.379416,-1.291465,-0.188570,-0.005326,2.501484,0.694181,2.743837,drilling
1247008690,-0.458159,-0.110142,0.379416,-1.291432,-0.186378,-0.005326,2.501484,0.694181,2.725937,drilling
1247008693,-0.461053,-0.110111,0.379416,-1.291396,-0.187152,-0.005593,2.486160,0.695931,2.732255,drilling
1247008696,-0.463740,-0.110081,0.379416,-1.291363,-0.188183,-0.005593,2.501484,0.693416,2.740679,drilling
1247008699,-0.466634,-0.110050,0.379416,-1.291327,-0.185218,-0.005593,2.501484,0.693416,2.716461,drilling
1247008702,-0.469528,-0.110018,0.379416,-1.291292,-0.188312,-0.005593,2.486160,0.692159,2.742784,drilling
1247008705,-0.472215,-0.109987,0.379416,-1.291256,-0.188441,-0.005072,2.501484,0.698744,2.742784,drilling
1247008708,-0.475108,-0.109958,0.379416,-1.291223,-0.190374,-0.005072,2.501484,0.698744,2.758579,drilling
1247008711,-0.477795,-0.109929,0.379416,-1.291190,-0.189214,-0.005072,2.486160,0.693909,2.749102,drilling
1247008714,-0.480689,-0.109897,0.379416,-1.291154,-0.185347,-0.005072,2.501484,0.692660,2.717514,drilling
1247008717,-0.483583,-0.109868,0.379416,-1.291121,-0.189214,-0.005221,2.501484,0.692660,2.749102,drilling
1247008720,-0.486270,-0.109836,0.379416,-1.291085,-0.189730,-0.005221,2.501484,0.692957,2.754367,drilling
1247008723,-0.488957,-0.109807,0.379416,-1.291052,-0.191921,-0.005221,2.501484,0.692957,2.771214,drilling
1247008732,-0.497431,-0.109715,0.379416,-1.290947,-0.191792,-0.006074,2.486160,0.697758,2.770161,drilling
1247008735,-0.500119,-0.109683,0.379416,-1.290911,-0.193468,-0.006074,2.501484,0.699585,2.783850,drilling
1247008738,-0.503012,-0.109654,0.379416,-1.290878,-0.188956,-0.005480,2.486160,0.692507,2.746996,drilling
1247008741,-0.505906,-0.109623,0.379416,-1.290842,-0.191663,-0.005480,2.486160,0.692507,2.769108,drilling
1247008744,-0.508593,-0.109593,0.379416,-1.290809,-0.189859,-0.005480,2.486160,0.694674,2.755420,drilling
1247008747,-0.511280,-0.109564,0.379416,-1.290776,-0.187925,-0.005480,2.501484,0.696535,2.738573,drilling
1247008750,-0.513967,-0.109535,0.379416,-1.290743,-0.189730,-0.005282,2.501484,0.695167,2.753314,drilling
1247008753,-0.516861,-0.109504,0.379416,-1.290707,-0.186765,-0.005282,2.501484,0.695167,2.729096,drilling
1247008756,-0.519548,-0.109474,0.379416,-1.290674,-0.189472,-0.005282,2.486160,0.694903,2.752261,drilling
1247008759,-0.522442,-0.109443,0.379416,-1.290638,-0.190632,-0.006054,2.486160,0.691479,2.760685,drilling
1247008762,-0.525129,-0.109414,0.379416,-1.290605,-0.194628,-0.006054,2.486160,0.691479,2.793326,drilling
1247008765,-0.528022,-0.109384,0.379416,-1.290572,-0.192308,-0.006054,2.486160,0.698140,2.775426,drilling
1247008768,-0.530709,-0.109351,0.379416,-1.290534,-0.192566,-0.006054,2.486160,0.690103,2.776479,drilling
1247008771,-0.533603,-0.109321,0.379416,-1.290500,-0.195015,-0.005500,2.486160,0.690103,2.796485,drilling
1247008774,-0.536497,-0.109290,0.379416,-1.290465,-0.191792,-0.005500,2.486160,0.694257,2.770161,drilling
1247008777,-0.539184,-0.109261,0.379416,-1.290431,-0.191663,-0.005500,2.501484,0.696348,2.769108,drilling
1247008780,-0.542078,-0.109229,0.379416,-1.290396,-0.190245,-0.005500,2.501484,0.696348,2.757526,drilling
1247008783,-0.544765,-0.109200,0.379416,-1.290363,-0.193339,-0.004708,2.501484,0.700690,2.782797,drilling
1247008786,-0.547658,-0.109168,0.379416,-1.290327,-0.191921,-0.004708,2.501484,0.700078,2.771214,drilling
1247008789,-0.550552,-0.109137,0.379416,-1.290291,-0.191921,-0.004708,2.501484,0.700078,2.771214,drilling
1247008792,-0.553446,-0.109105,0.379416,-1.290255,-0.189343,-0.005149,2.501484,0.700800,2.750155,drilling
1247008795,-0.556133,-0.109074,0.379416,-1.290220,-0.190632,-0.005149,2.501484,0.698217,2.760685,drilling
1247008798,-0.559027,-0.109045,0.379416,-1.290186,-0.194113,-0.005149,2.501484,0.698217,2.789114,drilling
1247008801,-0.561920,-0.109013,0.379416,-1.290151,-0.190374,-0.005149,2.501484,0.705754,2.758579,drilling
1247008804,-0.564814,-0.108984,0.379416,-1.290117,-0.189988,-0.004744,2.501484,0.705754,2.755420,drilling
1247008807,-0.567501,-0.108953,0.379416,-1.290082,-0.188698,-0.004744,2.486160,0.706510,2.745943,drilling
1247008810,-0.570395,-0.108923,0.379416,-1.290049,-0.193339,-0.004744,2.501484,0.702550,2.782797,drilling
1247008813,-0.573082,-0.108892,0.379416,-1.290013,-0.185218,-0.004744,2.501484,0.702550,2.716461,drilling
1247008816,-0.575769,-0.108863,0.379416,-1.289980,-0.188827,-0.004676,2.486160,0.697835,2.746996,drilling
1247008819,-0.578663,-0.108831,0.379416,-1.289944,-0.188956,-0.004676,2.501484,0.700307,2.746996,drilling
1247008822,-0.581350,-0.108802,0.379416,-1.289911,-0.189730,-0.004676,2.501484,0.700307,2.754367,drilling
