timestamp,sensor_02,sensor_03,sensor_04,sensor_05,sensor_10,sensor_11,sensor_12,sensor_38,sensor_41,sensor_42
1522540800,0.999675,1.300060,0.248273,-0.153309,-0.298225,0.266258,-0.066456,-1.059193,-0.720913,-0.491272
1522540860,0.999675,1.300060,0.248273,-0.153309,-0.298225,0.266258,-0.066456,-1.059193,-0.720913,-0.491272
1522540920,0.999675,1.338510,0.304610,-0.427060,-0.201864,0.343790,0.063965,-0.949758,-0.802352,-0.491273
1522540980,0.981962,1.338509,0.170268,-0.103587,-0.094726,0.400643,0.008036,-0.895041,-0.802352,-0.525368
1522541040,0.999675,1.338509,0.274274,-0.141169,0.042150,0.448956,0.045589,-0.812965,-0.720913,-0.525368
1522541100,0.981962,1.338509,0.288719,0.008844,0.012758,0.485469,0.083991,-0.812965,-0.720913,-0.559464
1522541160,0.981961,1.338509,0.235272,-0.213777,-0.136863,0.509328,0.053346,-0.812965,-0.680193,-0.525368
1522541220,0.981961,1.338509,0.202048,-0.217801,-0.281341,0.480341,0.036353,-0.785606,-0.720913,-0.525368
1522541280,0.981961,1.338509,0.217937,-0.329053,-0.113649,0.594397,0.064421,-0.812965,-0.720913,-0.525368
1522541340,0.981962,1.338509,0.340722,-0.330451,0.046936,0.613204,0.086491,-0.812965,-0.720913,-0.525368
1522541400,0.964248,1.338509,0.290163,-0.191666,0.104237,0.618316,0.159496,-0.812965,-0.720913,-0.525368
1522541460,0.981962,1.338509,0.264163,-0.329299,0.086664,0.653792,0.205775,-0.785606,-0.802352,-0.525368
1522541520,0.964248,1.338509,0.194825,-0.106321,0.125431,0.620142,0.248409,-0.867682,-0.802352,-0.525368
1522541580,0.981962,1.338509,0.301721,-0.227216,0.254859,0.674806,0.271714,-0.812965,-0.802352,-0.525368
1522541640,0.981962,1.338509,0.223716,0.241260,0.393730,0.765096,0.382852,-0.676172,-0.802352,-0.525368
1522541700,0.964248,1.338510,0.347946,0.003794,0.589635,0.785007,0.575740,-0.457302,-0.720913,-0.525368
1522541760,0.981962,1.300060,0.196271,-0.018578,0.660562,0.733196,0.668067,-0.265791,-0.639472,-0.525368
1522541820,1.194536,1.300061,0.363836,-0.073829,0.699946,0.746456,0.703381,-0.211073,-0.517314,-0.525368
1522541880,0.964248,1.300061,0.230938,-0.134308,0.624782,0.762490,0.697680,-0.238432,-0.435874,-0.491273
1522541940,0.981962,1.300061,0.372503,0.037544,0.462314,0.705974,0.647133,-0.320509,-0.395155,-0.491273
1522542000,0.928818,1.300061,0.236717,-0.106554,0.438843,0.742980,0.670272,-0.375226,-0.435874,-0.423081
1522542060,0.964248,1.300060,0.147155,0.062997,0.412190,0.783696,0.760803,-0.402585,-0.435874,-0.423081
1522542120,0.964248,1.280838,0.261273,-0.171922,0.561651,0.686825,0.831031,-0.484661,-0.476594,-0.423081
1522542180,0.981962,1.280838,0.261273,0.109254,0.797618,0.692195,0.740386,-0.484661,-0.476594,-0.423081
1522542240,0.928818,1.280838,0.248273,-0.113112,0.918292,0.780354,0.767493,-0.512020,-0.476594,-0.491273
1522542300,0.981962,1.280838,0.255496,-0.218388,0.950508,0.996678,0.805163,-0.594096,-0.476594,-0.423081
1522542360,0.981962,1.280838,0.223716,-0.230619,1.166442,1.135545,0.819528,-0.621454,-0.476594,-0.423081
1522542420,0.964248,1.280838,0.308943,-0.231943,1.302200,1.192751,0.834619,-0.621454,-0.476594,-0.423081
1522542480,0.981962,1.280838,0.334946,-0.211726,1.262509,1.213829,0.760030,-0.676172,-0.476594,-0.423081
1522542540,0.964248,1.261615,0.261273,-0.417780,1.104391,1.180449,0.660558,-0.730889,-0.476594,-0.423081
1522542600,0.964247,1.261614,0.053261,-0.229501,1.011740,1.090869,0.731489,-0.758248,-0.476594,-0.388985
1522542660,0.964248,1.261614,0.449063,-0.292051,0.851887,1.075487,0.770728,-0.758248,-0.517314,-0.388984
1522542720,0.928818,1.261614,0.213604,-0.394341,0.851140,1.091930,0.727526,-0.785606,-0.598753,-0.388984
1522542780,0.964248,1.261614,0.366724,-0.630987,0.716035,1.093115,0.731864,-0.812965,-0.598753,-0.388984
1522542840,0.964247,1.261614,0.207825,-0.570105,0.510629,1.058730,0.642991,-0.812965,-0.598753,-0.388984
1522542900,0.964247,1.261614,0.171712,-0.569995,0.329638,1.056237,0.546807,-0.867682,-0.639472,-0.388984
1522542960,0.964248,1.261615,0.171712,-0.569995,0.329638,1.056237,0.546807,-0.867682,-0.639472,-0.388984
1522543020,0.928818,1.242388,0.230938,-0.406973,0.247752,0.941838,0.872283,-0.895041,-0.680193,-0.388984
1522543080,0.964248,1.242390,0.233828,-0.595348,0.352828,1.015984,1.084296,-0.812965,-0.680193,-0.388985
1522543140,0.964247,1.242390,0.220827,-0.472025,0.308830,0.981558,1.199880,-0.785606,-0.680193,-0.423081
1522543200,0.964247,1.242390,0.293054,-0.646698,0.398742,0.941248,1.265865,-0.812965,-0.720913,-0.423081
1522543260,0.964247,1.242388,0.293054,-0.408892,0.279677,0.794844,1.306440,-0.867682,-0.720913,-0.423081
1522543320,0.964247,1.203943,0.324834,-0.494207,0.196491,0.730808,1.223450,-0.895041,-0.720913,-0.423081
1522543380,0.964247,1.203943,0.256941,-0.424420,0.020027,0.633478,1.138409,-0.922400,-0.680193,-0.423081
1522543440,0.964248,1.203943,0.241050,-0.442854,0.006581,0.584723,1.182633,-0.895041,-0.680193,-0.423081
1522543500,0.928818,1.203943,0.303166,-0.390203,0.198849,0.429536,1.178301,-0.812965,-0.680193,-0.423081
1522543560,0.964248,1.203943,0.197715,-0.316384,0.181192,0.429504,1.117945,-0.758248,-0.680193,-0.423081
1522543620,0.928818,1.184720,0.268497,-0.362312,0.242139,0.488506,0.963715,-0.621454,-0.639472,-0.423081
1522543680,0.964248,1.184718,0.171712,-0.084312,0.435037,0.455542,0.912697,-0.539378,-0.639472,-0.491273
1522543740,0.964247,1.184718,0.111042,0.008838,0.517665,0.456913,1.007590,-0.457302,-0.598753,-0.388985
1522543800,0.964247,1.184718,0.199159,0.306740,0.640842,0.495959,1.021645,-0.238432,-0.598753,-0.388984
1522543860,0.964247,1.184718,0.160156,0.011079,0.659806,0.539622,1.090430,-0.101639,-0.476594,-0.388984
1522543920,0.964247,1.184718,0.342167,0.048024,0.619229,0.621731,0.911618,0.062513,-0.395155,-0.388984
1522543980,0.964248,1.184718,0.095152,-0.059837,0.470252,0.699238,0.727331,0.336100,-0.435874,-0.388985
1522544040,0.928818,1.184720,0.236716,-0.064588,0.445512,0.672600,0.777716,0.472893,-0.476594,-0.423081
1522544100,0.964248,1.165493,0.141378,-0.063101,0.198629,0.733694,0.683437,0.554970,-0.476594,-0.388985
1522544160,0.964248,1.165494,0.223716,-0.218614,0.126805,0.713384,0.489888,0.445535,-0.476594,-0.423081
1522544220,0.981962,1.165494,0.245420,-0.076110,0.118437,0.625536,0.431991,0.308741,-0.517314,-0.388985
1522544280,0.964248,1.165494,0.170268,-0.300600,0.162056,0.585008,0.420348,0.062513,-0.598753,-0.388984
1522544340,0.981962,1.165494,0.255496,-0.177033,0.156189,0.567632,0.315980,-0.211073,-0.639472,-0.388985
1522544400,0.964247,1.165494,0.151490,-0.386190,0.340564,0.926719,0.370891,-0.211073,-0.639472,-0.423081
1522544460,0.964247,1.165494,0.151490,-0.386190,0.340564,0.926719,0.370891,-0.211073,-0.639472,-0.423081
1522544520,0.964248,1.165493,0.151490,-0.403080,0.266072,0.980197,0.250402,-0.128997,-0.598753,-0.388985
1522544580,0.928818,1.146270,0.262717,-0.457989,0.173295,0.970415,0.340535,-0.046921,-0.476594,-0.388984
1522544640,0.964248,1.146270,0.373948,-0.476011,0.284336,1.064435,0.459344,0.035155,-0.395155,-0.388984
1522544700,0.964247,1.146270,0.285831,-0.558812,0.302662,1.028646,0.590614,0.089872,-0.272995,-0.388985
1522544760,0.964247,1.146270,0.376836,-0.205549,0.215973,1.022831,0.726283,0.089872,-0.191555,-0.354888
1522544820,0.964248,1.146270,0.222271,-0.411448,0.431093,0.934456,0.727938,0.035155,-0.110115,-0.354888
1522544880,0.981962,1.146270,0.161600,-0.447906,0.278312,0.967573,0.765110,-0.046921,-0.110115,-0.354888
1522544940,0.981961,1.146270,0.290163,-0.659577,0.263814,1.049878,0.707396,-0.101639,-0.110115,-0.354888
1522545000,0.981961,1.146270,0.233828,-0.570291,0.158539,1.041029,0.652364,-0.101639,-0.232275,-0.388985
1522545060,0.981962,1.146270,0.242494,-0.603130,0.107626,1.110208,0.664318,-0.128997,-0.272995,-0.388984
1522545120,0.964248,1.146270,0.285831,-0.680032,-0.030182,1.105138,0.639892,-0.128997,-0.272995,-0.388984
1522545180,0.981962,1.146270,0.262718,-0.434257,0.052333,0.979906,0.745590,-0.128997,-0.313714,-0.388985
1522545240,0.981962,1.146270,0.355168,-0.688967,0.129076,1.086555,0.842420,-0.183715,-0.395155,-0.423081
1522545300,0.964248,1.146270,0.321944,-0.617349,0.347474,1.152686,0.970297,-0.211073,-0.313714,-0.423081
1522545360,0.964247,1.107825,0.137044,-0.682878,0.341280,1.142144,1.036823,-0.211073,-0.313714,-0.423081
1522545420,0.964248,1.107825,0.115375,-0.444797,0.311799,1.162862,1.133596,-0.238432,-0.395155,-0.388985
1522545480,0.981962,1.146270,0.163046,-0.612183,0.226842,1.076955,0.982294,-0.238432,-0.395155,-0.388984
1522545540,0.981962,1.146270,0.163046,-0.612183,0.226842,1.076955,0.982294,-0.238432,-0.395155,-0.388984
1522545600,0.964248,1.146270,0.346501,-0.375415,0.154618,0.962854,0.997701,-0.265791,-0.435874,-0.388984
1522545660,0.928818,1.107825,0.378280,-0.258632,0.066388,0.884986,0.991190,-0.320509,-0.476594,-0.388985
1522545720,0.928818,1.146270,0.336390,-0.124905,-0.016935,0.827998,0.933723,-0.347868,-0.476594,-0.354888
1522545780,0.981962,1.146270,0.308943,-0.295030,-0.111651,0.862674,0.828509,-0.457302,-0.476594,-0.354888
1522545840,0.964248,1.146270,0.170268,-0.062637,-0.116903,0.960988,0.880918,-0.539378,-0.435874,-0.354888
1522545900,0.964247,1.146270,0.238161,-0.107676,-0.032505,0.971045,0.922886,-0.621454,-0.476594,-0.354888
1522545960,0.964247,1.146270,0.219382,0.242165,-0.061455,0.976354,0.957981,-0.594096,-0.517314,-0.388985
1522546020,0.964248,1.146270,0.339278,-0.014359,-0.138636,0.915921,1.054485,-0.594096,-0.517314,-0.354888
