timestamp,sensor_02,sensor_03,sensor_04,sensor_05,sensor_10,sensor_11,sensor_12,sensor_38,sensor_41,sensor_42
1523570100,0.840248,0.012059,-5.141529,-2.658685,-0.553515,-4.945844,-4.027590,0.171948,0.622842,0.190647
1523570160,0.822530,0.012059,-5.114083,-2.287649,0.165739,-4.933419,-4.026254,0.336100,0.785722,0.190648
1523570220,0.822530,0.012059,-5.158863,-2.404353,-0.041877,-4.923180,-4.023702,0.500252,0.826440,0.190647
1523570280,0.787104,0.012057,-5.122750,-1.962898,-0.869078,-4.917928,-4.024926,0.691764,0.907881,0.156552
1523570340,0.804817,0.031284,-5.128528,-2.548864,-0.914445,-4.842440,-4.021162,0.746481,1.030041,0.156552
1523570400,0.787104,0.031284,-5.128528,-2.659005,-0.581332,-3.948106,-3.987071,0.582329,1.396519,0.156552
1523570460,0.787104,0.031284,-5.128528,-2.659005,-0.581332,-3.948106,-3.987071,0.582329,1.396519,0.156552
1523570520,0.787104,0.031284,-5.135751,-2.394117,-0.731024,-3.949238,-3.976782,0.418176,1.233639,0.122455
1523570580,0.787104,0.031284,-5.148751,-4.784669,-3.499588,-4.574806,-4.039170,0.226665,1.152200,0.122456
1523570640,0.733960,0.031284,-5.157419,-6.945455,-5.403364,-4.913042,-4.034191,0.281383,1.192919,0.122456
1523570700,0.663103,0.050506,-5.171864,-7.276771,-4.330339,-4.913718,-4.032412,0.336100,1.192919,0.122455
1523570760,0.716247,0.050506,-5.153085,-7.327572,-2.941184,-4.905097,-4.026685,0.089872,0.989320,0.020167
1523570820,0.716247,0.088956,-7.633346,-7.335362,-3.224223,-4.905036,-4.026563,-0.128997,0.745002,-0.013929
1523570880,0.733960,0.108179,-7.630457,-7.336556,-3.460146,-4.906571,-4.027511,-0.347868,0.500682,-0.048024
1523570940,0.751673,0.127402,-7.630457,-7.336740,-3.667783,-4.334967,-3.996426,-0.512019,0.297084,-0.150312
1523571000,0.787104,0.127402,-7.630457,-7.336773,-3.855008,-4.337163,-3.986099,-0.676172,0.134204,-0.150312
1523571060,0.787104,0.146629,-7.633346,-7.336773,-3.758603,-4.338344,-4.002488,-0.812965,-0.028676,-0.184408
1523571120,0.787104,0.185074,-7.633346,-7.336773,-3.898261,-4.342097,-4.044847,-0.922400,-0.110115,-0.218505
1523571180,0.787104,0.204297,-7.630457,-7.336773,-4.227534,-4.342969,-4.091326,-1.031834,-0.110115,-0.218505
1523571240,0.804817,0.204297,-7.630457,-7.336773,-4.472362,-4.342001,-4.146272,-1.086553,-0.232275,-0.252600
1523571300,0.840248,0.223524,-7.630457,-7.336773,-4.656179,-4.340427,-4.205367,-1.168629,-0.313714,-0.320793
1523571360,0.875678,0.204297,-7.630457,-7.336773,-4.644800,-4.331639,-4.232039,-1.223346,-0.435874,-0.320793
1523571420,0.840248,0.146629,-7.633346,-7.336773,-4.496653,-4.338934,-4.242625,-1.223346,-0.517314,-0.354888
1523571480,0.733960,0.146629,-7.630457,-7.336773,-4.554031,-4.332514,-4.242625,-1.278063,-0.517314,-0.354888
1523571540,0.663103,0.108179,-7.630457,-7.336773,-4.622900,-4.339413,-4.242625,-1.305422,-0.598753,-0.388985
1523571600,0.645390,0.088956,-7.630457,-7.336773,-4.714427,-4.333728,-4.242625,-1.332781,-0.639472,-0.388984
1523571660,0.663103,0.050506,-7.630457,-7.336773,-4.820757,-4.325513,-4.242625,-1.360139,-0.680193,-0.388984
1523571720,0.609959,0.050506,-7.630457,-7.336773,-4.917993,-4.322009,-4.242625,-1.414857,-0.720913,-0.388985
1523571780,0.574533,0.031284,-7.630457,-7.336773,-4.998360,-4.326250,-4.242625,-1.442215,-0.720913,-0.423081
1523571840,0.627677,0.031284,-7.630457,-7.336773,-4.951033,-4.320541,-4.242625,-1.469574,-0.802352,-0.423081
1523571900,0.627677,0.050506,-7.630457,-7.336773,-4.752433,-4.328561,-4.242625,-1.469574,-0.843073,-0.423081
1523571960,0.645390,0.050506,-7.630457,-7.336773,-4.802629,-4.336458,-4.242625,-1.442215,-0.843073,-0.491273
1523572020,0.627677,0.050506,-7.630457,-7.336773,-4.769790,-4.177295,-4.242625,-1.360139,-0.883791,-0.491272
1523572080,0.663103,0.088956,-7.633346,-7.336773,-4.717420,-2.679567,-4.161195,-1.332781,-0.883791,-0.491272
1523572140,0.698534,0.088956,-7.633346,-7.336773,-4.690786,-2.700974,-4.194211,-1.332780,-0.924512,-0.491272
1523572200,0.663103,0.050506,-7.630457,-7.336773,-4.504022,-2.636015,-4.160121,-1.332781,-0.924512,-0.491273
1523572260,0.645390,0.050506,-7.630457,-7.336773,-4.526178,-2.701447,-4.198855,-1.360139,-0.924512,-0.525368
1523572320,0.574533,0.031284,-7.630457,-7.336773,-4.550687,-2.691951,-4.220501,-1.360139,-1.005951,-0.525368
1523572380,0.521389,0.031284,-7.630457,-7.336773,-4.563457,-2.658016,-4.222824,-1.414857,-1.005951,-0.525368
1523572440,0.485959,0.012057,-7.630457,-7.336773,-4.559787,-2.715676,-4.173328,-1.442215,-1.005951,-0.525368
1523572500,0.468246,0.012057,-7.630457,-7.336773,-4.561083,-2.657565,-4.180216,-1.469574,-1.046671,-0.525368
1523572560,0.468246,0.012057,-7.630457,-7.336773,-4.050329,-2.702680,-4.242435,-1.496933,-1.046671,-0.525368
1523572620,0.450532,0.031284,-7.630457,-7.336773,-4.251825,-2.709585,-4.236588,-1.551650,-1.046671,-0.525368
1523572680,0.450532,0.031284,-7.630457,-7.336773,-3.806343,-2.657118,-4.209948,-1.551650,-1.046671,-0.525368
